Timestamp,Strategy,Parameters,Return (%),Win Rate (%),Trades,Final Balance
2025-11-23 18:47:48,Mean Reversion,"{'bb_len': 20, 'bb_std': 2.0, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-1.73,53.85,13,982.72
2025-11-23 18:55:31,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",-5.66,47.37,38,943.41
2025-11-23 18:55:43,Mean Reversion,"{'bb_len': 30, 'bb_std': 2.5, 'rsi_len': 14, 'rsi_buy': 20, 'rsi_sell': 80}",-1.22,0.00,2,987.76
2025-11-23 18:55:59,SMA Crossover,"{'short': 10, 'long': 30}",-2.70,33.33,36,973.03
2025-11-23 18:56:07,SMA Crossover,"{'short': 5, 'long': 15}",-5.89,37.50,64,941.15
2025-11-23 18:56:11,SMA Crossover,"{'short': 20, 'long': 50}",-0.13,45.00,20,998.66
2025-11-23 18:56:17,SMA Crossover,"{'short': 50, 'long': 200}",-1.65,40.00,10,983.54
2025-11-23 18:56:25,MACD,"{'fast': 12, 'slow': 26, 'sig': 9}",-10.09,29.49,78,899.06
2025-11-23 18:56:31,MACD,"{'fast': 8, 'slow': 21, 'sig': 5}",-17.99,18.66,134,820.12
2025-11-23 18:56:39,MACD,"{'fast': 24, 'slow': 52, 'sig': 18}",-1.76,47.06,34,982.37
2025-11-23 18:56:46,RSI,"{'period': 14, 'buy': 30, 'sell': 70}",-4.80,44.00,25,951.96
2025-11-23 18:56:52,RSI,"{'period': 7, 'buy': 20, 'sell': 80}",-5.63,51.43,35,943.75
2025-11-23 18:56:56,RSI,"{'period': 21, 'buy': 40, 'sell': 60}",-4.70,50.00,32,952.96
2025-11-23 18:58:19,Mean Reversion,"{'bb_len': 20, 'bb_std': 2.0, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-1.16,42.86,28,988.37
2025-11-23 18:58:25,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",-14.37,34.67,75,856.33
2025-11-23 18:58:31,Mean Reversion,"{'bb_len': 30, 'bb_std': 2.5, 'rsi_len': 14, 'rsi_buy': 20, 'rsi_sell': 80}",-0.23,42.86,7,997.70
2025-11-23 18:58:38,SMA Crossover,"{'short': 10, 'long': 30}",-18.42,29.41,102,815.78
2025-11-23 18:58:47,SMA Crossover,"{'short': 5, 'long': 15}",-18.21,27.27,132,817.85
2025-11-23 18:58:52,SMA Crossover,"{'short': 20, 'long': 50}",-18.17,27.37,95,818.30
2025-11-23 18:58:56,SMA Crossover,"{'short': 50, 'long': 200}",-5.54,36.51,63,944.57
2025-11-23 18:59:02,MACD,"{'fast': 12, 'slow': 26, 'sig': 9}",-13.35,31.71,123,866.46
2025-11-23 18:59:06,MACD,"{'fast': 8, 'slow': 21, 'sig': 5}",-16.71,32.72,162,832.87
2025-11-23 18:59:09,MACD,"{'fast': 24, 'slow': 52, 'sig': 18}",-18.95,22.22,99,810.54
2025-11-23 18:59:15,RSI,"{'period': 14, 'buy': 30, 'sell': 70}",-1.89,44.62,65,981.10
2025-11-23 18:59:19,RSI,"{'period': 7, 'buy': 20, 'sell': 80}",-15.09,35.62,73,849.10
2025-11-23 18:59:24,RSI,"{'period': 21, 'buy': 40, 'sell': 60}",-3.54,44.59,74,964.64
2025-11-23 19:01:14,Mean Reversion,"{'bb_len': 20, 'bb_std': 2.0, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",0.06,41.94,31,1000.65
2025-11-23 19:01:20,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",-15.33,32.32,99,846.66
2025-11-23 19:01:24,Mean Reversion,"{'bb_len': 30, 'bb_std': 2.5, 'rsi_len': 14, 'rsi_buy': 20, 'rsi_sell': 80}",-0.48,37.50,8,995.24
2025-11-23 19:01:30,SMA Crossover,"{'short': 10, 'long': 30}",-24.27,33.33,180,757.29
2025-11-23 19:01:36,SMA Crossover,"{'short': 5, 'long': 15}",-34.40,29.49,217,656.01
2025-11-23 19:01:40,SMA Crossover,"{'short': 20, 'long': 50}",-24.63,32.95,173,753.71
2025-11-23 19:01:44,SMA Crossover,"{'short': 50, 'long': 200}",-22.27,28.24,131,777.32
2025-11-23 19:01:52,MACD,"{'fast': 12, 'slow': 26, 'sig': 9}",-48.09,22.61,230,519.10
2025-11-23 19:01:55,MACD,"{'fast': 8, 'slow': 21, 'sig': 5}",-50.97,20.72,251,490.25
2025-11-23 19:02:00,MACD,"{'fast': 8, 'slow': 21, 'sig': 5}",-50.97,20.72,251,490.25
2025-11-23 19:02:04,MACD,"{'fast': 24, 'slow': 52, 'sig': 18}",-38.16,26.56,192,618.41
2025-11-23 19:02:13,RSI,"{'period': 14, 'buy': 30, 'sell': 70}",-14.80,26.76,71,852.01
2025-11-23 19:02:16,RSI,"{'period': 7, 'buy': 20, 'sell': 80}",-10.43,33.33,75,895.74
2025-11-23 19:02:20,RSI,"{'period': 21, 'buy': 40, 'sell': 60}",-24.57,27.73,119,754.28
2025-11-23 19:02:33,Mean Reversion,"{'bb_len': 20, 'bb_std': 2.0, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",8.87,54.55,44,1088.75
2025-11-23 19:02:39,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",0.99,42.07,145,1009.92
2025-11-23 19:02:43,Mean Reversion,"{'bb_len': 30, 'bb_std': 2.5, 'rsi_len': 14, 'rsi_buy': 20, 'rsi_sell': 80}",1.89,55.56,9,1018.90
2025-11-23 19:02:54,SMA Crossover,"{'short': 10, 'long': 30}",-47.43,29.43,350,525.69
2025-11-23 19:03:00,SMA Crossover,"{'short': 5, 'long': 15}",-57.62,26.78,366,423.84
2025-11-23 19:03:05,SMA Crossover,"{'short': 20, 'long': 50}",-39.59,31.25,320,604.07
2025-11-23 19:03:09,SMA Crossover,"{'short': 50, 'long': 200}",-41.77,29.17,288,582.30
2025-11-23 19:03:17,MACD,"{'fast': 12, 'slow': 26, 'sig': 9}",-66.47,22.99,374,335.28
2025-11-23 19:03:22,MACD,"{'fast': 8, 'slow': 21, 'sig': 5}",-70.44,21.64,402,295.62
2025-11-23 19:03:27,MACD,"{'fast': 24, 'slow': 52, 'sig': 18}",-49.11,28.57,343,508.91
2025-11-23 19:03:33,RSI,"{'period': 14, 'buy': 30, 'sell': 70}",-1.67,40.62,128,983.27
2025-11-23 19:03:36,RSI,"{'period': 7, 'buy': 20, 'sell': 80}",-4.82,38.52,122,951.76
2025-11-23 19:03:40,RSI,"{'period': 21, 'buy': 40, 'sell': 60}",-33.84,29.46,224,661.58
2025-11-23 19:32:10,Mean Reversion,"{'bb_len': 20, 'bb_std': 2.0, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-2.62,53.33,15,973.76
2025-11-23 19:32:18,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",-4.89,52.63,38,951.14
2025-11-23 19:35:28,Mean Reversion,"{'bb_len': 20, 'bb_std': 1.5, 'rsi_len': 7, 'rsi_buy': 40, 'rsi_sell': 60}",0.99,42.07,145,1009.92
